301313 凡拓数创 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/09/05	18.33	19.05	18.20	18.95	3635879	68147632.00
2024/09/06	19.03	19.68	18.41	18.57	3953270	74857832.00
2024/09/09	18.07	18.48	17.93	18.13	2749906	49872952.00
2024/09/10	18.26	18.47	17.72	18.30	2208547	39961120.00
2024/09/11	18.12	18.39	17.97	18.06	1514877	27484718.00
2024/09/12	18.10	18.34	17.90	17.92	1589000	28874408.00
2024/09/13	17.99	18.06	17.65	17.68	1390347	24767052.00
2024/09/18	17.94	18.00	17.41	17.64	1434360	25278152.00
2024/09/19	17.71	18.13	17.63	18.03	1919200	34436648.00
2024/09/20	18.00	18.19	17.84	17.97	1661408	29968178.00
2024/09/23	17.98	18.13	17.73	17.87	1321678	23726232.00
2024/09/24	17.91	18.48	17.80	18.37	2618200	47639388.00
2024/09/25	18.53	19.10	18.45	18.60	4717100	88363056.00
2024/09/26	18.45	18.90	18.44	18.85	3923440	73322248.00
2024/09/27	19.05	20.49	19.05	20.01	6459251	127539688.00
2024/09/30	20.99	23.35	20.66	23.19	9647379	212218144.00
2024/10/08	27.20	27.50	23.60	26.49	11919069	305811264.00
2024/10/09	24.57	25.29	22.39	22.50	8448114	201417024.00
2024/10/10	23.01	23.65	22.58	22.60	4643038	107053080.00
2024/10/11	22.52	22.84	20.83	21.52	5206431	111916064.00
2024/10/14	21.47	22.24	20.94	22.22	4172764	90358976.00
2024/10/15	21.98	22.80	21.69	21.70	4048992	90047808.00
2024/10/16	21.37	22.23	21.20	21.74	2975737	64971668.00
2024/10/17	22.04	22.79	21.93	22.24	4745159	106296688.00
2024/10/18	22.36	23.33	21.83	22.97	5693900	128833696.00
2024/10/21	23.17	23.78	22.90	23.69	5851371	136927328.00
2024/10/22	23.69	24.32	23.24	23.46	6501011	154793840.00
2024/10/23	23.25	23.59	22.78	22.94	5088854	118129408.00
2024/10/24	22.90	22.97	22.42	22.73	3185795	72202032.00
2024/10/25	22.90	23.19	22.65	23.11	3602594	82642416.00
2024/10/28	23.03	23.60	22.86	23.59	3385017	78985760.00
2024/10/29	23.72	23.82	22.58	22.69	4096761	94127904.00
2024/10/30	22.37	22.48	21.42	21.79	5327803	116790600.00
2024/10/31	21.70	22.08	21.32	21.88	4086066	88817480.00
2024/11/01	21.85	21.87	20.29	20.37	5328768	110198488.00
2024/11/04	20.48	20.74	20.14	20.68	3064355	62874132.00
2024/11/05	20.70	21.49	20.69	21.45	4071496	86180248.00
2024/11/06	21.46	22.50	21.45	21.68	5104895	112351552.00
2024/11/07	21.48	22.18	21.23	22.18	3953804	86128184.00
2024/11/08	22.34	22.85	22.11	22.20	5513766	123842912.00
2024/11/11	22.21	23.56	22.21	23.37	6764808	155817008.00
2024/11/12	23.47	23.80	22.55	22.82	5648766	130948912.00
2024/11/13	22.72	23.65	22.60	23.38	5196027	120652736.00
2024/11/14	23.30	24.00	22.61	22.66	5972658	139582704.00
2024/11/15	22.60	23.80	22.60	22.74	8104958	189271440.00
