time,open,high,low,close,volume,amount1,amount2,flag,timer
2023-10-22 16:00:00,1630.15,1635,1626.12,1627.22,361281,36128.1,58928431.584,0,1697961600000
2023-10-22 15:00:00,1644.99,1645.34,1623.56,1630.15,1358045,135804.5,221739663.848,1,1697958000000
2023-10-22 14:00:00,1641.94,1647.62,1637.1,1645,887050,88705,145770354.67,1,1697954400000
2023-10-22 13:00:00,1634.2,1649.5,1633.37,1641.93,1004894,100489.4,164919430.846,1,1697950800000
2023-10-22 12:00:00,1629.93,1636.45,1629.38,1634.19,467546,46754.6,76358122.646,1,1697947200000
2023-10-22 11:00:00,1625.71,1629.94,1624.04,1629.94,313333,31333.3,50983868.412,1,1697943600000
2023-10-22 10:00:00,1631.16,1631.7,1623.1,1625.71,376053,37605.3,61158787.27,1,1697940000000
2023-10-22 09:00:00,1633.93,1639.56,1626.31,1631.17,560935,56093.5,91574909.252,1,1697936400000
2023-10-22 08:00:00,1628.96,1642.51,1626.28,1634.06,688820,68882,112607008.083,1,1697932800000
2023-10-22 07:00:00,1630.55,1630.63,1625.68,1628.97,198619,19861.9,32325680.592,1,1697929200000
2023-10-22 06:00:00,1628.49,1631.97,1627,1630.55,193948,19394.8,31612250.122,1,1697925600000
2023-10-22 05:00:00,1629.99,1633.27,1627.76,1628.5,202124,20212.4,32947150.112,1,1697922000000
2023-10-22 04:00:00,1635.02,1636.07,1625.5,1630.01,402179,40217.9,65585529.463,1,1697918400000
2023-10-22 03:00:00,1634.79,1636.61,1627.13,1635.01,499805,49980.5,81578270.377,1,1697914800000
2023-10-22 02:00:00,1638.56,1644.84,1628.22,1634.8,1287359,128735.9,210456496.84,1,1697911200000
2023-10-22 01:00:00,1621.16,1639.98,1620.6,1638.47,1389626,138962.6,226915564.987,1,1697907600000
2023-10-22 00:00:00,1628.52,1630,1620,1621.17,992800,99280,161459022.699,1,1697904000000
2023-10-21 23:00:00,1622.03,1629.91,1613.63,1628.54,1401949,140194.9,227351879.652,1,1697900400000
2023-10-21 22:00:00,1613.19,1624.88,1610.18,1622.02,1297173,129717.3,209828814.601,1,1697896800000
2023-10-21 21:00:00,1605.16,1614.27,1601.77,1613.2,662521,66252.1,106570797.912,1,1697893200000
2023-10-21 20:00:00,1608.93,1610.54,1605,1605.17,266221,26622.1,42791615.12,1,1697889600000
2023-10-21 19:00:00,1604.77,1610,1604.77,1608.94,228204,22820.4,36689931.83,1,1697886000000
2023-10-21 18:00:00,1607.12,1608.17,1603.67,1604.76,233498,23349.8,37494152.235,1,1697882400000
2023-10-21 17:00:00,1606,1609.39,1603.18,1607.11,298954,29895.4,48008981.616,1,1697878800000
2023-10-21 16:00:00,1606.39,1608.51,1604.51,1606,296711,29671.1,47675285.268,1,1697875200000
2023-10-21 15:00:00,1603.78,1607.78,1602.41,1606.39,266661,26666.1,42799847.703,1,1697871600000
2023-10-21 14:00:00,1599.63,1605.88,1598.4,1603.78,550511,55051.1,88245452.247,1,1697868000000
2023-10-21 13:00:00,1598.4,1600,1597.55,1599.64,115865,11586.5,18523570.876,1,1697864400000
2023-10-21 12:00:00,1597.59,1600.47,1597.03,1598.39,199086,19908.6,31829288.997,1,1697860800000
2023-10-21 11:00:00,1595.48,1599.35,1592,1597.59,330291,33029.1,52717288.697,1,1697857200000
2023-10-21 10:00:00,1599.61,1599.62,1592.25,1595.48,703193,70319.3,112183055.092,1,1697853600000
2023-10-21 09:00:00,1603.61,1604.85,1598.07,1599.62,310226,31022.6,49682069.142,1,1697850000000
2023-10-21 08:00:00,1603.89,1606.64,1601.63,1603.62,288309,28830.9,46246374.013,1,1697846400000
2023-10-21 07:00:00,1608.1,1610,1602.72,1603.9,339366,33936.6,54486154.33,1,1697842800000
2023-10-21 06:00:00,1607.48,1610,1606.03,1608.11,144649,14464.9,23262692.293,1,1697839200000
2023-10-21 05:00:00,1602.55,1608.67,1601.82,1607.47,162136,16213.6,26037582.743,1,1697835600000
2023-10-21 04:00:00,1606.84,1609.15,1602.23,1602.56,253076,25307.6,40648797.332,1,1697832000000
2023-10-21 03:00:00,1605.95,1608.74,1602.58,1606.84,216425,21642.5,34749423.97,1,1697828400000
2023-10-21 02:00:00,1608.92,1609.77,1605.45,1605.95,222200,22220,35722016.245,1,1697824800000
2023-10-21 01:00:00,1604,1609.57,1597.12,1608.93,579213,57921.3,92896214.206,1,1697821200000
2023-10-21 00:00:00,1605.74,1609.94,1602.8,1604.01,475134,47513.4,76329147.524,1,1697817600000
2023-10-20 23:00:00,1605.33,1609.16,1601.73,1605.74,498332,49833.2,79996478.376,1,1697814000000
